Date,Ozone,PM2.5,Number,Name
2020-01-01,27.0,49.0,1.0,Good
2020-01-02,14.0,51.0,2.0,Moderate
2020-01-03,21.0,64.0,2.0,Moderate
2020-01-04,28.0,38.0,1.0,Good
2020-01-05,32.0,28.0,1.0,Good
2020-01-06,19.0,40.0,1.0,Good
2020-01-07,34.0,37.0,1.0,Good
2020-01-08,33.0,29.0,1.0,Good
2020-01-09,25.0,27.0,1.0,Good
2020-01-10,34.0,42.0,1.0,Good
2020-01-11,33.0,32.0,1.0,Good
2020-01-12,34.0,29.0,1.0,Good
2020-01-13,35.0,18.0,1.0,Good
2020-01-14,32.0,34.0,1.0,Good
2020-01-15,31.0,34.0,1.0,Good
2020-01-16,33.0,27.0,1.0,Good
2020-01-17,25.0,39.0,1.0,Good
2020-01-18,24.0,28.0,1.0,Good
2020-01-19,18.0,40.0,1.0,Good
2020-01-20,27.0,55.0,2.0,Moderate
2020-01-21,28.0,19.0,1.0,Good
2020-01-22,25.0,40.0,1.0,Good
2020-01-23,16.0,53.0,2.0,Moderate
2020-01-24,25.0,41.0,1.0,Good
2020-01-25,27.0,43.0,1.0,Good
2020-01-26,36.0,25.0,1.0,Good
2020-01-27,32.0,43.0,1.0,Good
2020-01-28,31.0,44.0,1.0,Good
2020-01-29,23.0,54.0,2.0,Moderate
2020-01-30,19.0,45.0,1.0,Good
2020-01-31,15.0,60.0,2.0,Moderate
2020-02-01,26.0,71.0,2.0,Moderate
2020-02-02,36.0,31.0,1.0,Good
2020-02-03,32.0,16.0,1.0,Good
2020-02-04,31.0,28.0,1.0,Good
2020-02-05,23.0,48.0,1.0,Good
2020-02-06,25.0,54.0,2.0,Moderate
2021-01-01,28.0,71.0,2.0,Moderate
2021-01-02,20.0,52.0,2.0,Moderate
2021-01-03,20.0,60.0,2.0,Moderate
2021-01-04,31.0,52.0,2.0,Moderate
2021-01-05,18.0,45.0,1.0,Good
2021-01-06,17.0,55.0,2.0,Moderate
2021-01-07,19.0,54.0,2.0,Moderate
2021-01-08,14.0,61.0,2.0,Moderate
2021-01-09,19.0,53.0,2.0,Moderate
2021-01-10,19.0,57.0,2.0,Moderate
2021-01-11,16.0,63.0,2.0,Moderate
2021-01-12,6.0,70.0,2.0,Moderate
2021-01-13,17.0,57.0,2.0,Moderate
2021-01-14,14.0,61.0,2.0,Moderate
2021-01-15,17.0,60.0,2.0,Moderate
2021-01-16,16.0,61.0,2.0,Moderate
2021-01-17,20.0,54.0,2.0,Moderate
2021-01-18,36.0,47.0,1.0,Good
2021-01-19,32.0,37.0,1.0,Good
2021-01-20,23.0,62.0,2.0,Moderate
2021-01-21,30.0,52.0,2.0,Moderate
2021-01-22,33.0,27.0,1.0,Good
2021-01-23,25.0,48.0,1.0,Good
2021-01-24,36.0,27.0,1.0,Good
2021-01-25,35.0,22.0,1.0,Good
2021-01-26,36.0,26.0,1.0,Good
2021-01-27,33.0,29.0,1.0,Good
2021-01-28,30.0,22.0,1.0,Good
2021-01-29,29.0,22.0,1.0,Good
2021-01-30,27.0,37.0,1.0,Good
2021-01-31,28.0,40.0,1.0,Good
2021-02-01,31.0,37.0,1.0,Good
2021-02-02,32.0,17.0,1.0,Good
2021-02-03,34.0,17.0,1.0,Good
2021-02-04,34.0,31.0,1.0,Good
2021-02-05,22.0,54.0,2.0,Moderate
2021-02-06,25.0,52.0,2.0,Moderate
2021-02-07,27.0,53.0,2.0,Moderate
2021-02-08,24.0,52.0,2.0,Moderate
2021-02-09,27.0,31.0,1.0,Good
2021-02-10,34.0,32.0,1.0,Good
2021-02-11,38.0,24.0,1.0,Good
2021-02-12,37.0,19.0,1.0,Good
2021-02-13,40.0,26.0,1.0,Good
2021-02-14,36.0,26.0,1.0,Good
2021-02-15,35.0,19.0,1.0,Good
2021-02-16,31.0,38.0,1.0,Good
2021-02-17,29.0,32.0,1.0,Good
2021-02-18,32.0,36.0,1.0,Good
2021-02-19,36.0,25.0,1.0,Good
2021-02-20,34.0,31.0,1.0,Good
2021-02-21,29.0,31.0,1.0,Good
2021-02-22,29.0,,,
2021-02-23,33.0,,,
2021-02-24,40.0,,,
2021-02-25,34.0,,,
2021-02-26,35.0,,,
2021-02-27,34.0,43.0,1.0,Good
2021-02-28,36.0,22.0,1.0,Good
2021-03-01,43.0,38.0,1.0,Good
2021-03-02,44.0,46.0,1.0,Good
2021-03-03,44.0,52.0,2.0,Moderate
2021-03-04,39.0,47.0,1.0,Good
2021-03-05,41.0,37.0,1.0,Good
2021-03-06,37.0,14.0,1.0,Good
2021-03-07,43.0,21.0,1.0,Good
2021-03-08,42.0,30.0,1.0,Good
2021-03-09,40.0,21.0,1.0,Good
2021-03-10,40.0,13.0,1.0,Good
2021-03-11,37.0,15.0,1.0,Good
2021-03-12,38.0,36.0,1.0,Good
2021-03-13,43.0,33.0,1.0,Good
2021-03-14,39.0,13.0,1.0,Good
2021-03-15,36.0,26.0,1.0,Good
2021-03-16,36.0,25.0,1.0,Good
2021-03-17,38.0,25.0,1.0,Good
2021-03-18,31.0,31.0,1.0,Good
2021-03-19,39.0,18.0,1.0,Good
2021-03-20,38.0,18.0,1.0,Good
2021-03-21,34.0,29.0,1.0,Good
2021-03-22,36.0,31.0,1.0,Good
2021-03-23,41.0,9.0,1.0,Good
2021-03-24,35.0,27.0,1.0,Good
2021-03-25,34.0,44.0,1.0,Good
2021-03-26,35.0,38.0,1.0,Good
2021-03-27,38.0,53.0,2.0,Moderate
2021-03-28,32.0,46.0,1.0,Good
2021-03-29,36.0,53.0,2.0,Moderate
2021-03-30,38.0,47.0,1.0,Good
2021-03-31,47.0,52.0,2.0,Moderate
2021-04-01,49.0,53.0,2.0,Moderate
2021-04-02,44.0,44.0,1.0,Good
2021-04-03,43.0,31.0,1.0,Good
2021-04-04,39.0,12.0,1.0,Good
2021-04-05,38.0,26.0,1.0,Good
2021-04-06,40.0,47.0,1.0,Good
2021-04-07,40.0,39.0,1.0,Good
2021-04-08,37.0,36.0,1.0,Good
2021-04-09,40.0,51.0,2.0,Moderate
2021-04-10,37.0,49.0,1.0,Good
2021-04-11,36.0,58.0,2.0,Moderate
