date_local,CO,CO_percent,NO2,NO2_percent
2015-01-01,23.0,96.0,23.0,96.0
2015-01-02,23.0,96.0,23.0,96.0
2015-01-03,23.0,96.0,23.0,96.0
2015-01-04,23.0,96.0,23.0,96.0
2015-01-05,24.0,100.0,23.0,96.0
2015-01-06,24.0,100.0,23.0,96.0
2015-01-07,24.0,100.0,23.0,96.0
2015-01-08,24.0,100.0,23.0,96.0
2015-01-09,24.0,100.0,22.0,92.0
2015-01-10,23.0,96.0,23.0,96.0
2015-01-11,23.0,96.0,23.0,96.0
2015-01-12,24.0,100.0,23.0,96.0
2015-01-13,23.0,96.0,23.0,96.0
2015-01-14,23.0,96.0,23.0,96.0
2015-01-15,24.0,100.0,23.0,96.0
2015-01-16,22.0,92.0,21.0,88.0
2015-01-17,24.0,100.0,23.0,96.0
2015-01-18,23.0,96.0,23.0,96.0
2015-01-19,24.0,100.0,23.0,96.0
2015-01-20,23.0,96.0,23.0,96.0
2015-01-21,24.0,100.0,23.0,96.0
2015-01-22,23.0,96.0,23.0,96.0
2015-01-23,23.0,96.0,23.0,96.0
2015-01-24,24.0,100.0,23.0,96.0
2015-01-25,23.0,96.0,23.0,96.0
2015-01-26,24.0,100.0,23.0,96.0
2015-01-27,24.0,100.0,23.0,96.0
2015-01-28,23.0,96.0,23.0,96.0
2015-01-29,23.0,96.0,23.0,96.0
2015-01-30,23.0,96.0,23.0,96.0
2015-01-31,23.0,96.0,23.0,96.0
2015-02-01,23.0,96.0,23.0,96.0
2015-02-02,23.0,96.0,23.0,96.0
2015-02-03,22.0,92.0,22.0,92.0
2015-02-04,24.0,100.0,23.0,96.0
2015-02-05,23.0,96.0,23.0,96.0
2015-02-06,23.0,96.0,23.0,96.0
2015-02-07,23.0,96.0,23.0,96.0
2015-02-08,23.0,96.0,23.0,96.0
2015-02-09,23.0,96.0,23.0,96.0
2015-02-10,24.0,100.0,23.0,96.0
2015-02-11,23.0,96.0,23.0,96.0
2015-02-12,24.0,100.0,23.0,96.0
2015-02-13,23.0,96.0,23.0,96.0
2015-02-14,24.0,100.0,23.0,96.0
2015-02-15,23.0,96.0,23.0,96.0
2015-02-16,24.0,100.0,23.0,96.0
2015-02-17,22.0,92.0,22.0,92.0
2015-02-18,23.0,96.0,23.0,96.0
2015-02-19,23.0,96.0,23.0,96.0
2015-02-20,23.0,96.0,23.0,96.0
2015-02-21,24.0,100.0,23.0,96.0
2015-02-22,24.0,100.0,23.0,96.0
2015-02-23,23.0,96.0,23.0,96.0
2015-02-24,24.0,100.0,23.0,96.0
2015-02-25,24.0,100.0,23.0,96.0
2015-02-26,23.0,96.0,23.0,96.0
2015-02-27,23.0,96.0,23.0,96.0
2015-02-28,24.0,100.0,23.0,96.0
2015-03-01,19.0,79.0,19.0,79.0
2015-03-02,23.0,96.0,23.0,96.0
2015-03-03,23.0,96.0,23.0,96.0
2015-03-04,24.0,100.0,23.0,96.0
2015-03-05,24.0,100.0,23.0,96.0
2015-03-06,23.0,96.0,23.0,96.0
2015-03-07,23.0,96.0,23.0,96.0
2015-03-08,23.0,96.0,23.0,96.0
2015-03-09,22.0,92.0,22.0,92.0
2015-03-10,23.0,96.0,23.0,96.0
2015-03-11,24.0,100.0,23.0,96.0
2015-03-12,24.0,100.0,23.0,96.0
2015-03-13,23.0,96.0,23.0,96.0
2015-03-14,24.0,100.0,23.0,96.0
2015-03-15,24.0,100.0,23.0,96.0
2015-03-16,23.0,96.0,23.0,96.0
2015-03-17,23.0,96.0,23.0,96.0
2015-03-18,24.0,100.0,23.0,96.0
2015-03-19,24.0,100.0,23.0,96.0
2015-03-20,24.0,100.0,23.0,96.0
2015-03-21,23.0,96.0,23.0,96.0
2015-03-22,24.0,100.0,23.0,96.0
2015-03-23,24.0,100.0,23.0,96.0
2015-03-24,24.0,100.0,23.0,96.0
2015-03-25,24.0,100.0,23.0,96.0
2015-03-26,23.0,96.0,23.0,96.0
2015-03-27,24.0,100.0,23.0,96.0
2015-03-28,24.0,100.0,23.0,96.0
2015-03-29,23.0,96.0,23.0,96.0
2015-03-30,23.0,96.0,23.0,96.0
2015-03-31,23.0,96.0,23.0,96.0
2015-04-01,24.0,100.0,23.0,96.0
2015-04-02,23.0,96.0,23.0,96.0
2015-04-03,24.0,100.0,23.0,96.0
2015-04-04,23.0,96.0,23.0,96.0
2015-04-05,24.0,100.0,23.0,96.0
2015-04-06,24.0,100.0,22.0,92.0
2015-04-07,24.0,100.0,23.0,96.0
2015-04-08,23.0,96.0,23.0,96.0
2015-04-09,24.0,100.0,23.0,96.0
2015-04-10,23.0,96.0,23.0,96.0
2015-04-11,23.0,96.0,23.0,96.0
2015-04-12,24.0,100.0,22.0,92.0
2015-04-13,24.0,100.0,23.0,96.0
2015-04-14,23.0,96.0,23.0,96.0
2015-04-15,23.0,96.0,23.0,96.0
2015-04-16,24.0,100.0,22.0,92.0
2015-04-17,23.0,96.0,23.0,96.0
2015-04-18,24.0,100.0,23.0,96.0
2015-04-19,23.0,96.0,23.0,96.0
2015-04-20,23.0,96.0,23.0,96.0
2015-04-21,24.0,100.0,23.0,96.0
2015-04-22,23.0,96.0,23.0,96.0
2015-04-23,24.0,100.0,23.0,96.0
2015-04-24,24.0,100.0,23.0,96.0
2015-04-25,23.0,96.0,23.0,96.0
2015-04-26,23.0,96.0,23.0,96.0
2015-04-27,24.0,100.0,23.0,96.0
2015-04-28,24.0,100.0,23.0,96.0
2015-04-29,24.0,100.0,23.0,96.0
2015-04-30,24.0,100.0,23.0,96.0
