date_local,CO,CO_percent,NO2,NO2_percent,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,OZONE,PM2.5,Number,Category_Name,Ozone,AQI_Category
2015-01-01,23.0,96.0,23.0,96.0,280.99791666666664,272.5629166666667,279.09125,279.6775,282.45250000000004,1019.4583333333334,55.458333333333336,2.8545833333333337,118.83333333333331,,,,,,0.0,26.0,60.0,1.5,Good,,
2015-01-02,23.0,96.0,23.0,96.0,278.55583333333334,273.18083333333334,276.45666666666665,277.4583333333333,279.71791666666667,1021.5,69.0,2.4795833333333333,68.91666666666667,,,,,,9.5,20.0,76.0,1.5,Good,,
2015-01-03,23.0,96.0,23.0,96.0,279.66416666666663,275.40208333333334,278.3870833333333,278.49083333333334,281.05958333333336,1022.625,75.16666666666667,1.8516666666666663,79.5,,,,,,1.5,17.0,86.0,1.5,Good,,
2015-01-04,23.0,96.0,23.0,96.0,279.9116666666667,276.815,278.63166666666666,278.9845833333333,281.01,1027.375,81.70833333333333,1.9595833333333337,61.333333333333336,,,,,,82.625,19.0,88.0,1.5,Good,,
2015-01-05,24.0,100.0,23.0,96.0,281.13375,277.87375000000003,279.4183333333333,279.95375,282.41875,1028.0,80.41666666666667,3.032083333333333,51.5,,,,,,86.25,12.0,72.0,1.5,Good,,
2015-01-06,24.0,100.0,23.0,96.0,282.8725,279.7679166666667,281.05875,281.88416666666666,283.925,1023.5,81.375,4.1866666666666665,60.875,,,,,,70.0,13.0,91.0,1.5,Good,,
2015-01-07,24.0,100.0,23.0,96.0,283.56458333333336,280.58708333333334,281.98875,282.42583333333334,284.75875,1021.5,82.29166666666667,3.7570833333333336,61.54166666666666,,,,,,4.25,8.0,75.0,1.5,Moderate,,
2015-01-08,24.0,100.0,23.0,96.0,283.71125,281.8041666666667,282.8383333333333,282.76708333333335,284.7475,1018.1666666666666,88.5,2.442083333333333,71.04166666666667,,,,,,72.66666666666667,5.0,98.0,1.5,Good,,
2015-01-09,24.0,100.0,22.0,92.0,284.8725,283.08,284.4420833333333,283.98375,285.78333333333336,1016.0,89.20833333333333,1.15125,102.0,,,,,,71.54166666666667,9.0,82.0,1.5,Good,,
2015-01-10,23.0,96.0,23.0,96.0,285.1058333333333,283.98833333333334,284.81666666666666,284.19,285.9379166666667,1015.4583333333334,93.25,1.211666666666667,196.0,,,,,,58.833333333333336,13.0,61.0,1.5,Good,,
2015-01-11,23.0,96.0,23.0,96.0,283.8183333333333,282.8695833333333,283.60291666666666,282.8829166666667,284.63375,1017.0833333333334,94.125,1.08125,254.125,,,,,,93.70833333333331,14.0,59.0,1.5,Good,,
