state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-01,Parts per million,No Events,23,96.0,Y,0.421739,0.6,2,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-01,Parts per million,No Events,18,75.0,Y,0.438889,0.6,8,7.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-02,Parts per million,No Events,22,92.0,Y,0.540909,0.9,7,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-02,Parts per million,No Events,24,100.0,Y,0.4875,0.7,10,8.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-03,Parts per million,No Events,23,96.0,Y,0.517391,0.8,8,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-03,Parts per million,No Events,24,100.0,Y,0.545833,0.6,0,7.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-04,Parts per million,No Events,23,96.0,Y,0.269565,0.5,0,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-04,Parts per million,No Events,24,100.0,Y,0.275,0.5,0,6.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,1,1 HOUR,CO 1-hour 1971,2020-01-05,Parts per million,No Events,23,96.0,Y,0.234783,0.4,22,,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2021-10-31
6,75,5,42101,1,37.765946,-122.399044,WGS84,Carbon monoxide,Z,8-HR RUN AVG END HOUR,CO 8-hour 1971,2020-01-05,Parts per million,No Events,24,100.0,Y,0.25,0.4,0,5.0,54,INSTRUMENTAL - NONDISPERSIVE INFRARED,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2023-02-05
