state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,2020-01-01,Parts per billion,No Events,23,96.0,Y,10.273913,23.6,2,22,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-01,Parts per billion,No Events,23,96.0,Y,10.273913,23.6,2,22,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,2020-01-02,Parts per billion,No Events,22,92.0,Y,23.531818,35.5,8,33,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-02,Parts per billion,No Events,22,92.0,Y,23.531818,35.5,8,33,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,2020-01-03,Parts per billion,No Events,23,96.0,Y,23.317391,36.6,20,34,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-03,Parts per billion,No Events,23,96.0,Y,23.317391,36.6,20,34,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,2020-01-04,Parts per billion,No Events,23,96.0,Y,12.230435,24.6,0,23,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-04,Parts per billion,No Events,23,96.0,Y,12.230435,24.6,0,23,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,2020-01-05,Parts per billion,No Events,23,96.0,Y,10.656522,23.3,8,22,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-05,Parts per billion,No Events,23,96.0,Y,10.656522,23.3,8,22,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-06,Parts per billion,No Events,23,96.0,Y,23.191304,35.3,19,33,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,2020-01-06,Parts per billion,No Events,23,96.0,Y,23.191304,35.3,19,33,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,2020-01-07,Parts per billion,No Events,23,96.0,Y,13.834783,26.9,0,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-07,Parts per billion,No Events,23,96.0,Y,13.834783,26.9,0,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,2020-01-08,Parts per billion,No Events,23,96.0,Y,12.1,34.9,7,32,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-08,Parts per billion,No Events,23,96.0,Y,12.1,34.9,7,32,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,2020-01-09,Parts per billion,No Events,23,96.0,Y,12.482609,29.8,22,27,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-09,Parts per billion,No Events,23,96.0,Y,12.482609,29.8,22,27,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,2020-01-10,Parts per billion,No Events,23,96.0,Y,13.973913,27.9,0,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-10,Parts per billion,No Events,23,96.0,Y,13.973913,27.9,0,25,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-11,Parts per billion,No Events,23,96.0,Y,8.913043,20.6,7,19,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 Annual 1971,2020-01-11,Parts per billion,No Events,23,96.0,Y,8.913043,20.6,7,19,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
6,75,5,42602,1,37.765946,-122.399044,WGS84,Nitrogen dioxide (NO2),1,1 HOUR,NO2 1-hour 2010,2020-01-12,Parts per billion,No Events,23,96.0,Y,9.443478,23.5,7,22,74,INSTRUMENTAL - CHEMILUMINESCENCE,San Francisco,10 ARKANSAS ST.,California,San Francisco,San Francisco,41860,"San Francisco-Oakland-Hayward, CA",2024-05-22
