DateObserved,Ozone,PM2.5,Number,AQI_Category
2015-01-01,26.0,60.0,1,Good
2015-01-02,20.0,76.0,2,Moderate
2015-01-03,17.0,86.0,1,Good
2015-01-04,19.0,88.0,2,Moderate
2015-01-05,12.0,72.0,1,Good
2015-01-06,13.0,91.0,2,Moderate
2015-01-07,8.0,75.0,1,Good
2015-01-08,5.0,98.0,2,Moderate
2015-01-09,9.0,82.0,1,Good
2015-01-10,13.0,61.0,2,Moderate
2015-01-11,14.0,59.0,1,Good
2015-01-12,9.0,56.0,2,Moderate
2015-01-13,11.0,51.0,2,Moderate
2015-01-14,13.0,83.0,1,Good
2015-01-15,9.0,100.0,1,Good
2015-01-16,5.0,94.0,2,Moderate
2015-01-17,17.0,62.0,1,Good
2015-01-18,7.0,63.0,2,Moderate
2015-01-19,12.0,55.0,1,Good
2015-01-20,11.0,60.0,2,Moderate
2015-01-21,11.0,57.0,1,Good
2015-01-22,11.0,67.0,2,Moderate
2015-01-23,8.0,72.0,1,Good
2015-01-24,11.0,72.0,2,Moderate
2015-01-25,14.0,71.0,1,Good
2015-01-26,8.0,68.0,2,Moderate
2015-01-27,21.0,53.0,2,Moderate
2015-01-28,21.0,92.0,1,Good
2015-01-29,19.0,58.0,1,Good
2015-01-30,12.0,55.0,2,Moderate
2015-01-31,27.0,45.0,1,Good
2015-02-01,18.0,62.0,2,Moderate
2015-02-02,20.0,84.0,1,Good
2015-02-03,16.0,65.0,2,Moderate
2015-02-04,30.0,77.0,1,Good
2015-02-05,28.0,46.0,2,Moderate
2015-02-06,29.0,21.0,1,Good
2015-02-07,26.0,34.0,2,Moderate
2015-02-08,38.0,23.0,2,Moderate
2015-02-09,30.0,53.0,1,Good
2015-02-10,21.0,39.0,2,Moderate
2015-02-11,15.0,48.0,1,Good
2015-02-12,19.0,51.0,1,Good
2015-02-13,21.0,56.0,2,Moderate
2015-02-14,21.0,59.0,1,Good
2015-02-15,23.0,54.0,2,Moderate
2015-02-16,36.0,57.0,1,Good
2015-02-17,37.0,55.0,2,Moderate
2015-02-18,25.0,51.0,1,Good
2015-02-19,22.0,55.0,2,Moderate
2015-02-20,15.0,59.0,1,Good
2015-02-21,31.0,53.0,2,Moderate
2015-02-22,31.0,33.0,2,Moderate
2015-02-23,31.0,24.0,1,Good
2015-02-24,29.0,34.0,2,Moderate
2015-02-25,28.0,52.0,1,Good
2015-02-26,29.0,56.0,1,Good
2015-02-27,33.0,20.0,2,Moderate
2015-02-28,31.0,23.0,1,Good
2015-03-01,30.0,26.0,2,Moderate
2015-03-02,35.0,42.0,1,Good
2015-03-03,29.0,44.0,1,Good
2015-03-04,28.0,48.0,1,Good
2015-03-05,36.0,48.0,2,Moderate
2015-03-06,33.0,53.0,1,Good
2015-03-07,34.0,54.0,2,Moderate
2015-03-08,31.0,56.0,1,Good
2015-03-09,24.0,58.0,2,Moderate
2015-03-10,30.0,64.0,2,Moderate
2015-03-11,33.0,52.0,1,Good
2015-03-12,24.0,34.0,1,Good
2015-03-13,21.0,49.0,1,Good
2015-03-14,37.0,52.0,1,Good
2015-03-15,32.0,24.0,1,Good
2015-03-16,30.0,41.0,1,Good
2015-03-17,32.0,28.0,1,Good
2015-03-18,30.0,39.0,1,Good
2015-03-19,34.0,57.0,1,Good
2015-03-20,33.0,40.0,1,Good
2015-03-21,31.0,26.0,2,Moderate
2015-03-22,34.0,31.0,1,Good
2015-03-23,39.0,38.0,1,Good
2015-03-24,33.0,36.0,1,Good
2015-03-25,24.0,39.0,1,Good
2015-03-26,28.0,51.0,1,Good
2015-03-27,24.0,18.0,2,Moderate
2015-03-28,31.0,43.0,1,Good
2015-03-29,28.0,54.0,2,Moderate
2015-03-30,31.0,55.0,1,Good
2015-03-31,38.0,37.0,2,Moderate
2015-04-01,37.0,43.0,1,Good
2015-04-02,35.0,47.0,2,Moderate
2015-04-03,38.0,57.0,1,Good
2015-04-04,42.0,37.0,2,Moderate
2015-04-05,43.0,33.0,1,Good
2015-04-06,42.0,19.0,2,Moderate
2015-04-07,43.0,14.0,2,Moderate
2015-04-08,38.0,23.0,1,Good
2015-04-09,35.0,28.0,1,Good
2015-04-10,34.0,26.0,2,Moderate
2015-04-11,33.0,28.0,1,Good
2015-04-12,33.0,29.0,2,Moderate
2015-04-13,44.0,22.0,1,Good
2015-04-14,40.0,29.0,2,Moderate
2015-04-15,35.0,28.0,1,Good
2015-04-16,43.0,21.0,1,Good
2015-04-17,36.0,52.0,1,Good
2015-04-18,34.0,52.0,1,Good
2015-04-19,37.0,37.0,1,Good
2015-04-20,36.0,44.0,1,Good
2015-04-21,32.0,28.0,1,Good
2015-04-22,35.0,46.0,2,Moderate
2015-04-23,34.0,60.0,1,Good
2015-04-24,41.0,29.0,2,Moderate
2015-04-25,36.0,22.0,1,Good
2015-04-26,32.0,19.0,1,Good
2015-04-27,24.0,30.0,1,Good
2015-04-28,35.0,34.0,1,Good
2015-04-29,33.0,58.0,1,Good
